audit_id,domain,split,target_valid,primary_valid,automated_alternative,accepted_alternative,confirmed_nonunique,verdict,rationale
13,cs,test,1,1,1,D2,1,pass_nonunique,D2 replaces the pCN reference with a covariance-based high-dimensional MCMC source while retaining the Dirichlet-process mixture and Gibbs-sampling components.
14,biology,train,1,1,0,,0,pass_no_alternative,"The sources separately support NRF1 regulation, caveolar claudin-5 internalisation and autophagic handling of claudin-5; no distinct set was found."
15,biology,train,1,1,1,D2,1,pass_nonunique,A pre-Iron-Age Roman reference replaces the Daunian comparison source while the Aegean and Balkan reference panels remain fixed; both sets support the same ancestry comparison.
16,biology,train,1,1,0,,0,pass_no_alternative,"The WRKY binding rule, HKT1;5 sodium transport and NHX antiporter evidence provide complementary components of the fixed mechanism; no distinct set was found."
17,biology,train,1,1,0,,0,pass_no_alternative,The database and regulator review supply the two m6A gene universes used by the target analysis; no distinct set was found under the budget.
18,biology,train,1,1,0,,0,pass_no_alternative,"The TBC complex, Rheb--mTOR regulation and Wnt-regulated kinesin evidence form a coherent route to the fixed KIF2C mechanism; no distinct set was found."
19,biology,train,1,0,0,,0,fail_primary,"The set supports the synbiotic, the AOM/DSS model and general short-chain fatty-acid effects, but it does not account for the fixed hypothesis's specific tight-junction, mucus-layer and apoptosis mechanism. Sufficiency therefore fails under the strict coverage rule."
20,biology,train,1,0,1,,0,fail_primary,The FARDEEP citation supplies robust least-trimmed-squares deconvolution of gene-expression profiles. The retained delta incorrectly states that this source fits subsets of CpGs; that methylation-specific adaptation belongs to the target paper.
21,biology,test,1,1,1,D2,1,pass_nonunique,"D2 substitutes a general TGF-beta immunity review for a Treg/Th17 review while retaining endothelial, Treg-subset and CD8-exhaustion evidence."
22,biology,test,1,1,0,,0,pass_no_alternative,The background supplies the PROTAC mechanism; the two papers supply the G4-binding warhead and proximity-labelling evidence. No distinct set was found.
23,biology,test,1,1,1,D2,1,pass_nonunique,"D2 replaces one Taguchi-optimisation application with another while retaining mutagenesis, toxin-overproduction and date-waste components."
24,biology,test,1,1,1,D2,1,pass_nonunique,D2 replaces one FMO-2 longevity paper with another while retaining the NHR-49/HLH-30 and bacterial-induction links required by the same endpoint.
25,biology,test,1,1,1,D2,1,pass_nonunique,A different largemouth-bass sex-locus study replaces the original mapping paper while the T2T-Y and transposable-element components remain unchanged.
26,biology,test,1,1,1,D2,1,pass_nonunique,An opah cryptic-species study replaces a general marine-fish barcode study while ASAP remains fixed; both support the same interpretation and delimitation of the John Dory lineages.
27,physics,train,1,1,0,,0,pass_no_alternative,The cited soft actor--critic paper supplies the continuous-control search method applied to the CFT crossing equations; no distinct set was found.
28,physics,train,1,1,0,,0,pass_no_alternative,The cited calculation supplies two-loop analytic machinery explicitly extended by the target's penguin calculation; no distinct set was found under the budget.
29,physics,train,1,1,1,D2,1,pass_nonunique,D2 replaces a vortex whispering-gallery source with a broader twisted-spin-wave source while retaining frequency-comb scattering and Penrose amplification.
30,physics,train,1,1,0,,0,pass_no_alternative,"The H I survey, extinction map and simulated spin-temperature relation provide complementary observational ingredients; no distinct set was found."
31,physics,train,1,1,1,D2,1,pass_nonunique,A second neural-network criticality paper replaces the original parameter-diagnostics source while the cross-model-transfer component remains fixed.
32,physics,train,1,1,1,D2,1,pass_nonunique,D2 replaces the derivative-RKHS paper with a standard kernel-approximation monograph while retaining kernel Koopman analysis and the Schrödinger--Kolmogorov transform.
33,physics,test,1,1,1,D2,1,pass_nonunique,A spinning-resonator paper replaces the optomagnonic Sagnac source; whispering-gallery magnon coupling and squeezing remain unchanged.
34,physics,test,1,1,1,D2,1,pass_nonunique,"D2 distributes the non-Hermitian quantum-geometric-tensor definition, finite-width dynamics and nonlinear-conductivity method across a distinct complete source set."
35,physics,test,1,1,1,D2,1,pass_nonunique,"D2 replaces an interstellar-polarisation correction source with the Serkowski wavelength relation while retaining disc polarimetry, comparison and warp theory."
36,physics,test,1,1,1,D2,1,pass_nonunique,A different pi-flux multicomponent-Hubbard study supplies the DQMC lattice template; sign-free simulation and Ginzburg--Landau ingredients remain fixed.
37,physics,test,1,1,1,D2,1,pass_nonunique,D2 replaces the Gross--Pitaevskii-limit Bogoliubov source with a rigorous excitation-spectrum source while retaining renormalisation and impurity derivation.
38,physics,test,1,1,1,D2,1,pass_nonunique,D2 replaces rotation-measure synthesis with the foundational Faraday-dispersion formulation while retaining scan strategy and ionospheric correction; both reconstruct the same survey endpoint.
39,matsci,train,1,1,1,D2,1,pass_nonunique,The primary gives a multiband quantum framework extended by the target to Hall transport; D2 supplies a direct multiband Hall treatment with WAL and EEI fixed.
40,matsci,train,1,1,1,D2,1,pass_nonunique,"D2 replaces one demonstration of XPD structural sensitivity with another while retaining multiple-scattering simulation, core-level and IrTe2-coordinate components."
41,matsci,train,1,1,1,D2,1,pass_nonunique,Two spatial projections of Kubo electrical conductivity provide the same transferable site-decomposition principle used for thermal conductivity.
42,matsci,train,1,1,0,,0,pass_no_alternative,"The QSGW, optical ladder, screened-interaction and sound-speed sources cover distinct electronic, optical and mechanical components; no distinct set was found."
43,matsci,train,1,1,1,D2,1,pass_nonunique,D2 replaces one momentum-dependent electron--phonon response calculation with another while retaining the NbSe2 validation example.
44,matsci,train,1,1,1,D2,1,pass_nonunique,D2 replaces one high-speed bubble-imaging source with another while retaining the same coupled interface-supersaturation model.
45,matsci,test,1,0,1,,0,fail_primary,The primary delta attributes deterministic reversible reorientation by linearly polarized light to the cited ferromagnetic study. That work reports deterministic helicity-dependent switching under circular polarization and random domains under linear polarization.
46,matsci,test,1,1,1,D2,1,pass_nonunique,D2 replaces the HPT precipitation example with a large-strain precipitation study while retaining the Mg--Mn dislocation-nucleation mechanism.
47,matsci,test,1,1,1,D2,1,pass_nonunique,D2 replaces the niobium-oxide thermodynamic source with an Ellingham-diagram source while retaining epitaxial growth-window and transport evidence.
48,matsci,test,1,1,1,D2,1,pass_nonunique,D2 replaces the CrI3 demonstration with a general magnetic-injection-current treatment while retaining the TBG symmetry and topological-heavy-fermion components.
49,matsci,test,1,1,1,D2,1,pass_nonunique,D2 replaces a recent variational phase-field source with the foundational non-isothermal formulation while retaining convex splitting and the cited existence argument.
50,matsci,test,1,1,0,,0,pass_no_alternative,The polar-catastrophe paper and long-range electrostatic neural potential supply the two complementary ingredients of the false-metallisation mechanism; no distinct set was found.
